1,我们,9
2,中国,8
3,君不见,6
4,中华民族,4
5,爱国,4
6,五千年,3
7,历史,3
8,文明,3
9,伟大,3
10,社会主义,3
11,核心,3
12,价值观,3
13,爱国主义,2
14,灿烂,2
15,为了,2
16,自由,2
17,精神支柱,2
18,未来,2
19,青春,2
20,源远流长,1
21,万里长城,1
22,撼为,1
23,天人,1
24,打开,1
25,史册,1
26,一页,1
27,无不,1
28,闪烁着,1
29,光辉,1
30,爱国志士,1
31,不畏强权,1
32,压迫,1
33,不畏,1
34,虎豹,1
35,豺狼,1
36,国家,1
37,独立,1
38,昌盛,1
39,人民,1
40,幸福,1
41,谱写,1
42,一曲曲,1
43,响彻云霄,1
44,壮歌,1
45,一个,1
46,民族,1
47,强大,1
48,不可磨灭,1
49,力量,1
50,同时,1
51,要求,1
52,长河,1
53,英雄事迹,1
54,层出不穷,1
55,英雄人物,1
56,群星,1
57,文天祥,1
58,人生自古谁无死,1
59,留取,1
60,丹心照,1
61,汗青,1
62,豪情壮志,1
63,范仲淹,1
64,先天下之忧而忧,1
65,后天下之乐而乐,1
66,情怀,1
67,诸葛亮,1
68,鞠躬尽瘁,1
69,死而后已,1
70,一生,1
71,实践,1
72,陆游,1
73,位卑,1
74,未敢,1
75,忘忧国,1
76,千古,1
77,佳句,1
78,饮尽,1
79,古老,1
80,神秘,1
81,黄河水,1
82,倾吐,1
83,华夏,1
84,经历,1
85,改革开放,1
86,高楼,1
87,拔地而起,1
88,中华,1
89,千年,1
90,飞天梦,1
91,梦想成真,1
92,蛟龙,1
93,潜水,1
94,千米,1
95,创造,1
96,深度,1
97,鲜艳,1
98,五星红旗,1
99,涂遍,1
100,整个,1
101,雅典奥运,1
102,遥远,1
103,东方,1
104,作文,1
105,https,1
106,Www,1
107,ZuoWEn8,1
108,Com,1
109,红星,1
110,冉冉升起,1
111,回顾过去,1
112,豪情满怀,1
113,展望未来,1
114,信心百倍,1
115,十八,1
116,提出,1
117,富强,1
118,民主,1
119,和谐,1
120,平等,1
121,公正,1
122,法制,1
123,敬业,1
124,诚信,1
125,友善,1
126,短短,1
127,二十四个,1
128,描绘,1
129,发展,1
130,美好,1
131,蓝图,1
132,新一代,1
133,智慧,1
134,汗水,1
135,铸造,1
136,青年,1
137,国之魂,1
138,历经,1
139,艰辛,1
140,始终,1
141,屹立,1
142,华夏儿女,1
143,遭遇,1
144,逆境,1
145,毫不退缩,1
146,活力,1
147,之源,1
148,花季,1
149,朝气蓬勃,1
150,年少,1
151,英勇无畏,1
152,要用,1
153,坚韧,1
154,锋利,1
155,武器,1
156,知识,1
157,武装,1
158,自己,1
159,积极响应,1
160,号召,1
161,大志,1
162,方有,1
163,恒力,1
164,实功,1
165,才能,1
166,致远,1
167,实现,1
168,复兴,1
169,何其,1
170,奋斗目标,1
171,何等,1
172,恢弘,1
173,壮阔,1
174,事业,1
175,波涛滚滚,1
176,洪流,1
177,怀揣,1
178,梦想,1
179,广大青年,1
180,中流,1
181,击水,1
182,浪尖,1
183,弄潮,1
184,交相辉映,1
185,美丽,1
186,梦添,1
187,绚烂,1
188,一笔,1
189,同学,1
190,行动,1
191,起来,1
192,践行,1
193,共同,1
194,开创,1
195,美好未来,1
